French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,news
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,give
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
recommençons,let us restart
virgule,comma
norvège,Norway
grandissant,growing
héberger,accommodate
décevant,disappointing
homosexualité,homosexuality
trinquer,sink
guérisseur,healer
agirait,would act
rescousse,rescue
ecrase,crushed
joins,joint
confrontation,confrontation
ancêtre,ancestor
terrifiante,terrifying
restaurer,restore
talisman,talisman
bestiole,beast
défis,challenge
fourgonnette,van
préparons,Let's prepare
matières,subject
l"ombre,shadow
jouis,enjoyed
intestins,intestines
sniper,sniper
infrarouge,infrared
ëtes,are
disneyland,Disneyland
hilary,hilary
lsd,LSD
éduqué,educated
descendants,descendants
mulet,mule
terminés,finished
racontée,recount
évoquer,recall
tentait,was trying
missionnaire,missionary
âges,ages
rites,rites
rougir,to blush
émue,moved
nourrissent,nourish
paraissent,appear
dépouille,bare
ratez,miss
couchant,sunset
choque,shock
servirai,will serve
prohibition,prohibition
sortit,came out
rabais,discount
sœurette,sister
vexe,vex
cornichons,pickles
cambriolé,burgled
calculer,calculate
emportée,ride
maladroite,clumsy
jouiez,play
greenwich,greenwich
coroner,coroner
caresses,caresses
dicter,to dictate
plongeur,diver
hodges,hodges
reporters,reporters
horse,Horse
bossent,work
créa,creative
morue,cod
francfort,Frankfurt
victorieux,victorious
cromwell,cromwell
fondement,foundation
hammer,hammer
lèvent,the wind
retrouvons,let's find
supportent,support
anguille,eel
tondeuse,mower
bille,ball
menez,Menez
cyanure,cyanide
atteignent,reach
immortels,immortal
mortimer,mortimer
tuck,tuck
justicier,vigilante
hiroshi,hiroshi
paroi,wall
pendleton,pendleton
rugby,rugby
sénile,senile
mess,mess
briefing,briefing
ju,ju
bof,bof
serizawa,serizawa
balayage,scanning
sür,on
toki,toki
burnes,burns
préservatifs,condoms
hiro,hiro
xiao,Xiao
kelno,kelno
joo,joo
recherchons,we are looking for
détourne,divert
fichais,fichais
perturbée,disturbed
engagez,hire
allumage,ignition
gagnerez,will win
importuner,annoy
consulte,consult
corvées,chores
potence,stem
sonnent,sound
scellé,sealed
reflète,reflect
azur,azure
jupons,petticoats
montera,will rise
sanglante,bloody
rosée,dew
humbles,humble
vulgaires,vulgar
signerai,will sign
sonnait,wilted
dancing,dancing
repartez,leave
séparée,separate
harrington,harrington
éventuellement,"Most often is ""possibly"""
supporterai,will support
eyes,Eyes
toupet,toupet
châle,shawl
rituels,rituals
harmonica,harmonica
fane,fane
incapacité,inability
arkansas,Arkansas
vautour,vulture
pigez,stuck
mendiants,beggars
découvrez,discover
billings,billings
grove,grove
pénal,criminal
ps,PS
dérangés,disturbed
sections,sections
inimaginable,unimaginable
casper,casper
saignant,bleeding
humblement,humbly
lus,read
regagnez,regain
perdrait,would lose
garderie,nursery
révérence,reverence
ouille,muddy
punit,puny
refilé,tickle
endurance,endurance
patientez,wait
entraider,hamper
conway,conway
portés,doors
vivions,vivion
pressions,pressures
had,hady
thing,thing
supposés,supposed
tapettes,swatte
remèdes,remedies
gardienne,guardian
influencé,influence
psycho,psycho
vendues,sold
moquait,fired
concurrent,competitor
nadine,nadine
giselle,giselle
fernand,Fernand
marlon,marlon
entité,entity
natasha,Natasha
micah,micah
zoom,zoom
paige,paige
nibards,boobs
sync,sync
opportunités,opportunities
droguer,make drugs
fixez,fix
originaux,original
valide,valid
épices,spices
cheese,cheese
mémorable,memorable
vendais,sold
récompenser,reward
filou,scalp
lazare,Lazarus
désarmé,disarmed
rossignol,nightingale
brûlera,will burn
scélérat,scoundrel
récupération,recovery
mildred,milled
écuries,stables
embrassait,kissed
matelots,sailors
tully,tully
légères,light
couchette,berth
sanglant,bloody
éloignée,distant
una,una
brûlait,was burning
cassent,breakage
instruit,educated
choquer,chock
impératif,imperative
glissant,sliding
répéterai,will repeat
cincinnati,cincinnati
opératrice,operator
apportée,brought
enfuient,fled
mentalité,mentality
pif,pif
écoutiez,listen
soudan,Sudan
débauche,debauchery
dêjà,Already
pastèque,watermelon
universel,universal
ramer,row
colleen,Colleen
équipés,equipped
payées,paid
exemples,examples
flancs,flanks
socialisme,socialism
his,His
edwin,Edwin
jugée,tried
marian,marian
cottage,cottage
athée,atheist
dépendait,depended
mœurs,manners
brièvement,briefly
miniature,miniature
méditer,meditate
soucieux,concerned
indemne,unhappy
tatoué,tattooed
routière,road
démasqué,unmasked
évacue,evacuated
confiée,entrusted
détection,detection
rendront,will return
recevait,received
richardson,Richardson
envolent,fly away
sandales,sandals
régale,treat
abats,offal
bougerai,will move
simms,simms
mitraillette,machine gun
allergie,allergy
atroces,atrocious
hybride,hybrid
hiroshima,hiroshima
radars,radars
respires,respies
rouille,rust
lnspecteur,lnspector
kathleen,Kathleen
annette,Annette
sùr,on
momo,momo
dren,dren
lain,horny
ést,East
timbre,stamp
boira,Boira
désirais,desired
polaire,polar
pli,fold
tôle,sheet metal
finissait,finished
véritablement,truly
excessive,excessive
approchait,approached
efforce,strive
animés,animated
aggrave,worsen
guéris,healing
estropié,crippled
découverts,overdraft
cosaques,Cossacks
tiendrait,would hold
digitales,digital
celà,that
déplacements,displacement
flo,float
inhabituelle,unusual
balançoire,swing
iceberg,iceberg
protester,protest
embrouiller,muddle
riant,laughing
embrouillé,confuses
libéral,liberal
fire,fire
cuve,tank
bondé,crowded
bouée,buoy
percée,breakthrough
manquée,missed
marrons,chestnuts
posture,posture
º,º
cramer,To screw up
peace,peace
putois,pole
fonctionnait,worked
rationnel,rational
formons,formal
renvoyés,referred
mobilier,furniture
mais je,but I
valeureux,valiant
maudites,cursed
fournis,supplied
monk,monk
alligator,alligator
inondation,flood
vitesses,speeds
wilkes,wilkes
réparée,fixed
garantit,guaranteed
barrières,barriers
animateur,leader
sensei,sensei
nécessite,need
mathieu,mathieu
custer,custer
airlines,airlines
substances,substances
renée,Renée
oe,work
mio,mio
parsons,parsons
leone,leone
thermique,thermal
antibiotiques,antibiotics
foutrement,fucked up
sushi,sushi
galactique,galactic
astrid,astrid
skywalker,skywalker
tae,tae
sylar,sylar
garza,Garza
établie,established
confronter,to confront
approchons,approaches
tirerez,will shoot
râle,groan
nocturnes,nocturnal
achevée,finished
pénitence,penance
décapité,decapitity
accouché,voted
morbide,morbid
lavabo,washbasin
remerciement,thanks
vengé,avenged
représenté,represented
faust,faust
publie,publish
bahamas,Bahamas
solaires,solar
chassent,hunt
recherchés,research
moeurs,morals
ignorants,ignorant
utilisera,will use
calories,calories
partition,partition
tiendras,tiendra
intello,nerd
financièrement,financially
retarde,delayed
thorpe,thorpe
paralysie,paralysis
abbaye,abbey
helsing,Helsing
steph,steph
poole,poop
dégoûtante,disgusting
racket,racketeering
coureurs,runners
leeds,leeds
égoïsme,selfishness
bluffe,bluff
microscope,microscope
photographié,photography
proviennent,come
manipulé,manipulated
implication,involvement
hazel,hazel
huissier,bailiff
baies,berries
amélioration,improvement
procède,process
merrick,merrick
nouveiie,new
initiale,initial
géographie,geography
diabète,diabetes
nichols,nichols
poivrot,pepper
inspirée,inspired
deviendront,will become
prouvent,prove
sacramento,sacramento
laisserez,leave
forum,forum
selma,Selma
camelot,camera
larkin,Larkin
carpe,carp
ouvrait,opened
robby,Robby
investigation,investigation
fiscale,tax
grimes,grimes
bougeait,was moving
athéna,athena
bousille,bousille
sub,sub
adhésif,adhesive
signore,sign
doolittle,doolittle
trippy,trippy
gogh,gogh
tucson,Tucson
today,Today
crockett,Crockett
wanna,Wanna
températures,temperatures
op,op
mëme,even
joanne,Joanne
hachi,Hachi
stéréo,stereo
jacky,jacky
masturbation,masturbation
ying,ying
annabelle,Annabelle
francine,Francine
precious,precious
probabilité,probability
instincts,instincts
traînez,drag
éventualité,eventuality
boche,Boche
minnie,minnie
ennuient,annoying
capturés,captured
immortelle,immortal
dévotion,devotion
dicte,dictate
maintenu,kept
périodes,periods
évites,avoidance
sacrifie,sacrificed
éminent,prominent
louée,praise
culturelle,cultural
fifi,fifi
complêtement,completely
comptons,counts
idêe,idea
réclament,claim
remarquée,remarkable
vertueux,virtuous
estelle,is she
résumer,to summarize
bouscule,jostle
comprendriez,would understand
torchon,tea towel
épuisés,exhausted
bandage,bandage
flair,flair
tigresse,tigress
starr,starr
redis,repeat
passiez,pass
disperser,disperse
chameaux,camels
abbott,abbott
sanders,Sanders
roulent,roll
produite,produced
présumé,presumed
raffut,bloom
jaguar,jaguar
roulait,rolled
volais,stewed
steward,steward
hostilité,hostility
jurons,swear
carlisle,carlisle
key,Key
projette,projection
peloter,pelot
ching,hunting
vérifions,check
gaucher,left -handed
hiérarchie,hierarchy
balais,broom
négocié,negotiated
pulitzer,pulitzer
reproduise,reproduce
traqué,tracked
écureuils,squirrels
infernal,infernal
prénoms,first names
envolée,flourish
muffins,muffins
copenhague,copenhagen
krishna,krishna
cramé,burnt
death,Death
tailles,sizes
earp,earp
bullard,Bullard
alfie,alfie
noriko,noriko
michele,Michele
urbaine,urban
cbs,CBS
lobo,lobo
bin,bin
kumar,kumar
taf,job
milos,milos
aldous,aldous
maverick,maverick
kayla,kayla
kitt,kitt
bunty,bunty
contrer,to counter
patientes,patient
renouveler,renew
puissances,powers
loyale,loyal
redresse,recovery
ventilateur,fan
invitez,invite
voué,dedicated
réalités,realities
dégoûté,disgust
antre,lair
escargots,snails
paisiblement,peacefully
extension,extension
jouée,played
encerclé,surrounded
assurés,insured
déduction,deduction
régaler,feast
civière,litter
proue,bow
tapage,noise
choisissent,choose
riggs,riggs
mascarade,masquerade
porcherie,pigsty
corey,corey
torts,wrong
campagnes,campaigns
repensé,redesigned
gémir,groan
insultant,insulting
verbal,verbal
conviendrait,would be suitable
imhotep,imhotep
musées,museums
encens,incense
cessent,cease
martyrs,martyrs
admirais,admired
battaient,were beating
attentats,attacks
siience,siece
march,March
sentinelle,sentinel
comparable,comparable
mourais,sudden
simpie,simplicity
apportait,brought
sceptique,skeptical
aurora,Aurora
chassez,hunt
cités,cities
thierry,thierry
iieu,ieu
refusais,refusal
coalition,coalition
familiales,family
griffe,claw
remplacera,will replace
pingouins,penguins
immature,immature
abrite,shelters
some,some
frazier,frazier
invalide,invalid
mafieux,mafia
transmissions,transmissions
caniche,poodle
devereaux,becoming
nicola,nicola
kris,kris
fern,fern
made,made
karin,karin
automatiques,automatic
ever,run
structures,structures
présentateur,presenter
lei,lei
rolling,rolling
garry,garry
qin,Qin
lnternet,lternet
nsa,nsa
taco,taco
sung,sung
heavy,heavy
viagra,viagra
cartman,Cartman
scofield,scofield
fayed,fayed
lineu,line
ponyo,ponyo
bean,bean
stricte,strict
utiliserai,will use
japonaises,Japanese
dingo,dingo
tirons,shot
collectionneur,collector
progéniture,offspring
procure,procure
sombrer,sink
légué,begging
hospice,hospice
soupçonner,suspect
chinoises,Chinese
luxure,lust
habitant,resident
travailliez,work
ventilation,ventilation
lotion,lotion
problemes,problems
aubrey,Aubrey
sécheresse,drought
manquerez,will miss
bach,bach
hemingway,hemingway
caissier,cashier
aplomb,plumb
fourrures,furs
assises,assize
subtile,subtle
canari,canary
valets,valets
rendrais,would return
rendrez,Repeat
exotiques,exotic
weiss,Weiss
affole,panic
soldes,sales
marlene,marlene
remboursement,refund
orchidée,orchid
commandants,commanders
osais,daring
excessif,excessive
rail,rail
relie,connect
manette,controller
roumanie,Romania
écrira,will write
récif,reef
pourrit,rotten
tige,stem
transmettez,transmit
rivers,rivers
faciie,facie
carpenter,carpenter
dorian,dorian
bolivie,Bolivia
sos,sos
léopold,leopold
dunn,dunn
tram,tram
fielding,field
tranches,slices
probation,probation
branchée,trendy
commandements,commandments
mourrir,die
clebs,clebs
dex,dex
lumiere,light
completement,completely
humides,damp
dusty,dusty
horton,horton
expérimental,experimental
vessie,bladder
slater,slater
mayday,Mayday
décalage,gap
quantique,quantum
antônio,antônio
braguette,fly
kang,kang
ä,To
caitlin,caitlin
kishen,kishen
veillée,vigil
brûlante,burning
rommel,rommel
délinquant,offender
monture,mount
hideux,hideous
survivrai,will survive
remballe,boot
neiges,snow
maternel,maternal
prouverai,will prove
saturne,Saturn
crus,raw
réfugier,refuge
résolue,resolved
hériter,to inherit
doté,endowed
capté,captured
compatis,sympathetic
sucreries,sweets
rade,harbor
agneaux,lambs
élémentaire,elementary
ingrate,ungrateful
tromperie,deception
dires,saying
comprimé,compressed
souriait,smiled
reconnaîtrais,would recognize
sautent,jump
dépanner,troubleshoot
biblique,biblical
trébuché,stumbling down
camisole,camisole
répression,repression
vivrons,live
zèbre,zebra
conclue,concluded
clic,click
lache,cowardly
larbin,girlab
déguisés,disguised
marchander,to bargain
verrouille,Locked
appartenu,belonging
courrez,run
argenterie,silverware
remplacement,replacement
moralement,morally
tabie,tabie
veuient,widowed
aiiô,Aiiô
recouvre,cover
baguettes,chopsticks
envergure,scope
hai,hai
cendre,ash
hood,hood
présentement,presently
refermer,close
costello,costello
durable,sustainable
capter,capture
sucé,sucking
hydraulique,hydraulic
abilene,abilene
résolus,resolved
cui,bake
résistant,wearing
interférences,interference
benne,skipper
denis,Denis
penchant,penchant
superficiel,superficial
cory,cory
magnétophone,tape recorder
vïus,vius
bennie,Bennie
eta,ETA
pacino,pacino
peyton,peyton
rhea,rhea
mohammad,mohammad
board,board
bethany,bethany
tonbo,tone
sms,sms
gardés,kept
préservatif,condom
nappe,layer
felicia,Felicia
gogo,gogo
issu,output
initiation,initiation
inattendue,unexpected
ny,ny
sabbat,Sabbath
épines,thorns
fumant,smoking
roubles,rubles
obscure,obscure
couplet,verse
tolère,tolerated
noyés,drowned
reprendrai,will resume
hampton,Hampton
brouillés,scrambled
epouse,marry
inhumain,inhuman
rendras,will return
béquilles,crutch
fichait,fichait
suffiront,will suffice
frappant,striking
oyez,oyez
dépourvu,devoid
annexe,Annex
frigorifix,frigrifix
refaites,rebuild
préserve,preserve
mijote,mijote
sourdine,mute
matraque,baton
bijouterie,jewelry store
diffusé,broadcast
posté,job
bianche,bianche
rendes,renders
insistes,insist
étalage,display
engendre,generates
coran,Koran
côtelettes,chop
marierai,Marierai
pharmacien,pharmacist
penderie,wardrobe
coupons,coupons
idioties,stupid
canular,prank
embouteillages,traffic jams
vénère,venere
germes,germs
prescription,prescription
connecter,connect
fenton,fenton
coiffe,cap
ulrich,Ulrich
blanchir,whiten
lrene,slide
cornelius,Cornelius
seller,seller
devenant,becoming
ready,ready
liverpool,liverpool
réalistes,realistic
externe,external
préparais,prepare
tendez,tend
valve,valve
tulipe,tulip
pochette,pocket
wendell,wendell
takashi,takashi
touffe,tuft
mira,mira
styles,styles
câlins,cuddles
tofu,tofu
aldo,aldo
entrainement,coaching
sauna,sauna
yann,yann
dumbledore,Dumbledore
gifler,slap
puéril,childish
encourageant,encouraging
invitent,invite
offrande,offering
composée,compound
gigolo,gigolo
périscope,periscope
financières,financial
feuilleton,serial
bernardo,Bernardo
olaf,olaf
mariera,Mariera
défié,challenged
hypocrites,hypocrites
conformément,in accordance
vertiges,dizziness
pinceau,brush
transforment,transform
tiendront,will hold
aisément,easily
mémo,memo
troublant,disturbing
ecrivez,write
obligez,oblige
rolls,rolls
passê,pass
hanter,haunt
fair,fair
heurter,to hit
renseigne,information
débordés,overwhelmed
aggraver,aggravate
pansements,dressings
étonnée,surprised
construis,construct
jetait,was throwing
arrêterais,would stop
mann,mann
jasmin,jasmine
offenses,offenses
esteban,Esteban
filon,vein
oakland,oakland
chantera,will sing
lents,slow
enterrements,burials
bouchons,caps
variété,variety
déshabille,undressed
ingrédients,ingredients
enchante,delighted
tua,you are
girafe,giraffe
expédier,dispatch
rubans,ribbons
habileté,skill
pourries,rotten
déguerpir,disguise
footballeur,footballer
volera,will steal
cascades,waterfall
accusent,accuse
maintiens,keeping
asiatiques,Asian
présidentielle,presidential
stylos,pens
bing,bing
concessions,concessions
incompétent,incompetent
contrainte,constraint
could,rod
roulante,rolling
dépendre,depend
souvenais,remember
archers,archers
jong,jong
jerome,jerome
largage,release
attirés,attracted
analyste,analyst
