,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,devrait,should
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
28,aucune,any
29,place,square
30,parle,speak
31,compris,understood
32,savais,knew
33,étaient,were
34,attention,Warning
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
39,type,type
40,leurs,their
41,donné,given
42,train,train
43,corps,body
44,endroit,place
45,yeux,eyes
46,façon,way
47,écoute,listen
48,dont,whose
49,trouve,find
50,premier,first
51,perdu,lost
52,main,hand
53,première,first
54,côté,side
55,pouvoir,power
56,vieux,old
57,sois,be
58,tiens,here
59,matin,morning
60,tellement,so much
61,enfant,child
62,point,point
63,venu,came
64,suite,after
65,pardon,sorry
66,venez,come
67,devant,in front of
68,vers,towards
69,minutes,minutes
70,demandé,request
71,chambre,bedroom
72,mis,placed
73,belle,beautiful
74,droit,law
75,aimerais,would like to
76,aujourd'hui,today
77,mari,husband
78,cause,cause
79,enfin,finally
80,espère,hope
81,eau,water
82,attendez,Wait
83,parti,left
84,nouvelle,news
85,boulot,job
86,arrêter,Stop
87,dirait,would say
88,terre,Earth
89,compte,account
90,donne,give
91,loin,far
92,fin,end
93,croire,believe
94,chérie,sweetheart
95,gros,large
96,plutôt,rather
97,aura,will have
98,filles,girls
99,jouer,to play
100,bureau,office
101,recommençons,let us restart
102,virgule,comma
103,norvège,Norway
104,grandissant,growing
105,héberger,accommodate
106,décevant,disappointing
107,homosexualité,homosexuality
108,trinquer,sink
109,guérisseur,healer
110,agirait,would act
111,rescousse,rescue
112,ecrase,crushed
113,joins,joint
114,confrontation,confrontation
115,ancêtre,ancestor
116,terrifiante,terrifying
117,restaurer,restore
118,talisman,talisman
119,bestiole,beast
120,défis,challenge
121,fourgonnette,van
122,préparons,Let's prepare
123,matières,subject
124,"l""ombre",shadow
125,jouis,enjoyed
126,intestins,intestines
127,sniper,sniper
128,infrarouge,infrared
129,ëtes,are
130,disneyland,Disneyland
131,hilary,hilary
132,lsd,LSD
133,éduqué,educated
134,descendants,descendants
135,mulet,mule
136,terminés,finished
137,racontée,recount
138,évoquer,recall
139,tentait,was trying
140,missionnaire,missionary
141,âges,ages
142,rites,rites
143,rougir,to blush
144,émue,moved
145,nourrissent,nourish
146,paraissent,appear
147,dépouille,bare
148,ratez,miss
149,couchant,sunset
150,choque,shock
151,servirai,will serve
152,prohibition,prohibition
153,sortit,came out
154,rabais,discount
155,sœurette,sister
156,vexe,vex
157,cornichons,pickles
158,cambriolé,burgled
159,calculer,calculate
160,emportée,ride
161,maladroite,clumsy
162,jouiez,play
163,greenwich,greenwich
164,coroner,coroner
165,caresses,caresses
166,dicter,to dictate
167,plongeur,diver
168,hodges,hodges
169,reporters,reporters
170,horse,Horse
171,bossent,work
172,créa,creative
173,morue,cod
174,francfort,Frankfurt
175,victorieux,victorious
176,cromwell,cromwell
177,fondement,foundation
178,hammer,hammer
179,lèvent,the wind
180,retrouvons,let's find
181,supportent,support
182,anguille,eel
183,tondeuse,mower
184,bille,ball
185,menez,Menez
186,cyanure,cyanide
187,atteignent,reach
188,immortels,immortal
189,mortimer,mortimer
190,tuck,tuck
191,justicier,vigilante
192,hiroshi,hiroshi
193,paroi,wall
194,pendleton,pendleton
195,rugby,rugby
196,sénile,senile
197,mess,mess
198,briefing,briefing
199,ju,ju
